,,,,,,,,,,,,,,,,,,,,,WEAPON 1,,,,,WEAPON 2,,,,,WEAPON 3,,,,,WEAPON 4,,,,,,,,,,,,,
Wave,Unique ID,Prefix,Name,Class Abr,Class,Manufacturer,Base Size,Base Qty,Models per Squad,Models per Pack,Magnets,Flight Stand,Stand Length,Flight Connector,Pts,Init,Dod,Def,HP,Move,Name,RNG,ACC,DMG,KEY,Name,RNG,ACC,DMG,KEY,Name,RNG,ACC,DMG,KEY,Name,RNG,ACC,DMG,KEY,Trait,Trait,Trait,Ability,Ability,Ability,Ability,Card File Names,Speed Plus Repo (reference only)
1,1,OA-10-J ,Albatross,,Tactical Gunship,Horizon Systems,25F,1,1,1,0,1.5mm,90mm,Flat,55,6,8,4,2,22,50MM Railgun [AP],10,5,6+1,AP,30MM Autocannons,6,6+1,2,,,,,,,,,,,,Aircraft: Fixed Wing,,,Precision Support: Ground,Weapon Cycling: 50mm Raillgun,Reposition: Fixed Wing [8],,Albatross,22 + R8
1,2,UHB,Bandit,,Utility VTOL,Sturmlanze AG,2125F,1,1,1,0,1.5mm,70mm,Angled,50,4,8,4,2,18,30MM Rotary Autocannon [2 ATKS],8,6,4,2x,,,,,,,,,,,,,,,,Aircraft: VTOL,Laser Dazzler,Transport [1],,Reposition [8],,,Bandit,18 + R8
,,,Brigand,,Strike Craft,Hibiki Heavy Industries,175F,1,1,1,0,n/a,,n/a,,4,7,5,1,12 + R8,,,,,,,,,,,,,,,,,,,,,Grav Drive,Reposition [8],,,,,,,12 + R8
1,3,AEGV-18,Buffalo,,Salvage Recovery Vehicle,General Kinetics-Keystone,175F,1,1,1,1,n/a,,n/a,30,3,4,3,2,8,,,,,,,,,,,,,,,,,,,,,Grav Drive,Surveyor,Transport [2],Reposition [6],,,,Buffalo,8 + R6
1,4,,Buffalo,,Q-Craft,General Kinetics-Keystone,175F,1,1,1,1,n/a,,n/a,25,3,4,3,2,8,120MM Recoilless Rifle [AP],10,5,6+1,AP,"Broadside Rockets [GND] [SPLASH 2""]",6,4,4,Gnd/Spl,,,,,,,,,,,Grav Drive,Q-Craft,,Reposition [6],,,,,8 + R6
1,5,V323,Chariot,L.A.V.,Light Attack Vehicle,Keystone-Ostlund,1375,1,1,1,1,n/a,,n/a,25,4,6,4,1,10,50MM Smart Munitions Autocannon,12,6+2,4,,,,,,,,,,,,,,,,,Transport [1],,,Escort [8],Smartburst Rounds,,,,10
,,,Cobra,,Fighter,MK Ostlund,2125F,1,1,1,0,1.5mm,90mm,Flat,,6,9,3,1,28 + R10,,10,6+2,3+1,Air,,6,5,3,,,,,,,,,,,,Aircraft: Fixed Wing,Reposition [10],,,,,,,28 + R10
,,,Condor,,Heavy Lift VTOL,Sturmlanze AG,2875F,1,1,1,0,1.5mm,73mm,Angled,,3,5,6,4,10 + R6,,,,,,,,,,,,,,,,,,,,,Aircraft,Reposition [6],Transport,,,,,,10 + R6
